model,configuration_id,learning_rate,weight_decay,batch_size,pretrain_epochs,maximum_epochs,early_stopping_patience,seed,initialization_seed,data_order_seed,mask_seed,checkpoint_rule,input_view,selection_scope,training_kind,analysis_role,evaluation_scope,evaluation_subjects,outer_folds,configuration_sha256
unidirectional_delay,unidirectional_delay-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,e369d418699e2d364847bc5e15a7e9cdae339b834ca7f96d729b25497be7f648
direction_agnostic_local,direction_agnostic_local-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,7b9a476f0d7927f6794efda7233bdafe7f2084c6f0791ac0f9a1648b9a30e426
shifted_offsets_9_12,shifted_offsets_9_12-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,44612b54badcb2d1b4c6374d702c94df4c4677a2e8c24506e56f94bdd616e80e
offset_band_2_5_common,offset_band_2_5_common-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,96b0648d3e3edbb657173c266a7f80c4d4a049aa5c8d7df5086af32b5cd3dc61
offset_band_3_6_common,offset_band_3_6_common-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,ea992ea2817ec8411dbeba6c737c8e6b025b678108a4d9bfedb126e6b65cfbee
offset_band_4_7_common,offset_band_4_7_common-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,61cb51168bda8f2601693b0e4a624738dd421964e24fb7583e5d3bd35582360e
ecg_only,ecg_only-v3,0.000600,0.000000,32,0,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,2f56ea849cb1fca58541a44e29e9e8c1279344282afa8a27b2d73ae7bc1f3dd1
ppg_only,ppg_only-v3,0.000600,0.000000,32,0,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,61c7e90acdb6f94c4d5fef27ff3772cd1545e6aa0626e7edfdd048d6378ef54a
early_concat,early_concat-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,98ecbfc54b212f955a3bbff872642f23fb7df07f5415b48bef901f02a8195489
late_average,late_average-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,c389e6aaa955977b8e6dabd6de7681c5159d31a28dceef2b31a0398813222f57
gated_fusion,gated_fusion-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,5558f6c30535821dcdb4111edfa5a479b914bff73735c7275ad40d983b5cf6a1
se_fusion,se_fusion-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,738f7f5340549b1208a858e478ae6506c57c54abfdcc8b58f02b0855d154a92d
uniform_delay_band,uniform_delay_band-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,57d2e51f0f5a50aa9f8eaa9075788371c7d29dee755b3c3f64faffa9c48950fc
delay_120_300,delay_120_300-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,99ad843532f3ae8d5702bb932f08e14dceaabcacde8aa7a23bcf83e62d1eafd5
delay_120_350,delay_120_350-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,8867e180561b4e4384c386ce1181e60b5ddfdb347e98bce0515cfb51013d4b0a
delay_80_550,delay_80_550-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,e5e3e112d86fe34fdd15c0d81bee7fa7c78d74a353c1d1f3b1ad650d628423fb
attention_edge_ablation_seed_82000,random-mask-82000,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,4fb79d41bbde2efa935d3c3ee91964220d73b41ee1db4a177bad5c8d7e960135
attention_edge_ablation_seed_82001,random-mask-82001,0.000600,0.000000,32,5,80,12,42,42,42,82001,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,7128a35cf3a4c4da2ff2fbb5ac90138f7e2d4984afe4a44ce4ad240cedc123ea
attention_edge_ablation_seed_82002,random-mask-82002,0.000600,0.000000,32,5,80,12,42,42,42,82002,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,d2631d61ba4d5d49c195657f99d784f73d2b0c6296e4d3070ea20c9dbd4654e4
attention_edge_ablation_seed_82003,random-mask-82003,0.000600,0.000000,32,5,80,12,42,42,42,82003,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,39a9a19b4591359147c16987f6c2ab77586fc2be5b3a2459bcc74a634de53bb2
attention_edge_ablation_seed_82004,random-mask-82004,0.000600,0.000000,32,5,80,12,42,42,42,82004,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,cb2d80b5f78e220f0ba2aebd8379009945a5282bd13c34333c1f211eb7559309
attention_edge_ablation_seed_82005,random-mask-82005,0.000600,0.000000,32,5,80,12,42,42,42,82005,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,d6044172fefe2ba824448641c7ee556d89c642d1f3333a0f087a4a6e0712735d
attention_edge_ablation_seed_82006,random-mask-82006,0.000600,0.000000,32,5,80,12,42,42,42,82006,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,1470e8f88e1e28fad5493d783ed7983b429e8bdc71883a649ea673faa68b1f10
attention_edge_ablation_seed_82007,random-mask-82007,0.000600,0.000000,32,5,80,12,42,42,42,82007,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,8aac77bb43cb99f43445fe0d3081fa9fd6c44c8b2e318d577c4310ffd555eb7d
attention_edge_ablation_seed_82008,random-mask-82008,0.000600,0.000000,32,5,80,12,42,42,42,82008,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,695cb027c6ae22230965b6edf9687add6cab5b6c7a087f75aa86f34101c63924
attention_edge_ablation_seed_82009,random-mask-82009,0.000600,0.000000,32,5,80,12,42,42,42,82009,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,35c2493dc5f77b21aaf9962d90059adbab6bf6fe346a2ee962de3c77ba11cf67
attention_edge_ablation_seed_82010,random-mask-82010,0.000600,0.000000,32,5,80,12,42,42,42,82010,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,6da8022f1f6a13ac04cae6cf3d77dcc438b7066d503ead15aaa3e2f27589109d
attention_edge_ablation_seed_82011,random-mask-82011,0.000600,0.000000,32,5,80,12,42,42,42,82011,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,ab759865541fbab8b51977ec80c3f88bf22a658c35203676d02053dcf43153f1
attention_edge_ablation_seed_82012,random-mask-82012,0.000600,0.000000,32,5,80,12,42,42,42,82012,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,ce5d8e49411e42b0262d05d24dc6ab2dc722076b6eff94d7f7cc4066a95c6bd2
attention_edge_ablation_seed_82013,random-mask-82013,0.000600,0.000000,32,5,80,12,42,42,42,82013,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,71f7d3c8742439fa137b8276bb442083eaec275e34b3cdd18c28f63e72ea7abb
attention_edge_ablation_seed_82014,random-mask-82014,0.000600,0.000000,32,5,80,12,42,42,42,82014,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,95dd678bdb2a158050ab3ecf0d54e7f67343ef52ed68c19f5907cb0bdca820e0
attention_edge_ablation_seed_82015,random-mask-82015,0.000600,0.000000,32,5,80,12,42,42,42,82015,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,1fadab3142f5951bd5676fc115d9e001f41f05731e3f59486a1f8e9a6695fc50
attention_edge_ablation_seed_82016,random-mask-82016,0.000600,0.000000,32,5,80,12,42,42,42,82016,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,db3102d3131521ffb01013643a31966071a96e982b434ac7027e419308cd0617
attention_edge_ablation_seed_82017,random-mask-82017,0.000600,0.000000,32,5,80,12,42,42,42,82017,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,16e51ac5e6c84f351c461e76fe64a26f5b7933135bf968ddd7fe4dcac8323788
attention_edge_ablation_seed_82018,random-mask-82018,0.000600,0.000000,32,5,80,12,42,42,42,82018,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,9850f27c592592d5304d3df4a491ae34cbd27d45f0777d2c0a453181a4539886
attention_edge_ablation_seed_82019,random-mask-82019,0.000600,0.000000,32,5,80,12,42,42,42,82019,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,2714,5,88ddc72679c5db2bd99d0f2122e3dab136f8a857c61f963ed28ea803733ef347
